|circuitId|url|circuitName|Location.lat|Location.long|Location.locality|Location.country|season|round|date|time|race name|fastest|mean_s|median_s|std dev_s|mean_p|median_p|std dev_p
0|albert_park|http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix|Albert Park Grand Prix Circuit|-37.8497|144.968|Melbourne|Australia|2005|1|2005-03-06|14:00:00Z|Australian Grand Prix|88.279|113.87905|90.58850000000001|64.08641136241877|128.99902581587918|102.61613747323827|72.5953073351746
0|sepang|http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix|Sepang International Circuit|2.76083|101.738|Kuala Lumpur|Malaysia|2005|2|2005-03-20|15:00:00Z|Malaysian Grand Prix|92.582|94.6307|93.76650000000001|2.307707089412848|102.21284914994274|101.27940636408806|2.492608811013857
0|bahrain|http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix|Bahrain International Circuit|26.0325|50.5106|Sakhir|Bahrain|2005|3|2005-04-03|14:30:00Z|Bahrain Grand Prix|89.848|91.41234999999999|90.9425|1.4091687461986802|101.74110720327666|101.21816846229189|1.568391890969947
0|imola|http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix|Autodromo Enzo e Dino Ferrari|44.3439|11.7167|Imola|Italy|2005|4|2005-04-24|14:00:00Z|San Marino Grand Prix|79.886|81.64865|80.8715|1.960016897752079|102.20645670079867|101.23363292692088|2.453517384462958
0|catalunya|http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix|Circuit de Barcelona-Catalunya|41.57|2.26111|Montmeló|Spain|2005|5|2005-05-08|14:00:00Z|Spanish Grand Prix|74.795|76.34600000000002|75.7705|1.7758524051018099|102.07366802593756|101.30423156628115|2.3742929408407116
0|monaco|http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix|Circuit de Monaco|43.7347|7.42056|Monte-Carlo|Monaco|2005|6|2005-05-22|14:00:00Z|Monaco Grand Prix|73.644|88.64494444444443|76.0315|52.7787462386721|120.36954055244749|103.24194774862855|71.6674083953507
0|nurburgring|http://en.wikipedia.org/wiki/2005_European_Grand_Prix|Nürburgring|50.3356|6.9475|Nürburg|Germany|2005|7|2005-05-29|14:00:00Z|European Grand Prix|90.081|92.41635000000001|91.895|1.9796574736953592|102.59250008325841|102.01374318668753|2.197641537833018
0|villeneuve|http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix|Circuit Gilles Villeneuve|45.5|-73.5228|Montreal|Canada|2005|8|2005-06-12|13:00:00Z|Canadian Grand Prix|75.217|87.99730000000001|76.5115|49.91752247890093|116.9912386827446|101.72102051397954|66.36468149341361
0|indianapolis|http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix|Indianapolis Motor Speedway|39.795|-86.2347|Indianapolis|USA|2005|9|2005-06-19|14:00:00Z|United States Grand Prix|70.625|72.01895|71.618|1.0636896794697814|101.97373451327432|101.40601769911504|1.506109280665179
0|magny_cours|http://en.wikipedia.org/wiki/2005_French_Grand_Prix|Circuit de Nevers Magny-Cours|46.8642|3.16361|Magny Cours|France|2005|10|2005-07-03|14:00:00Z|French Grand Prix|74.412|75.86015|75.6325|1.295877360790951|101.94612428102994|101.64019244207923|1.7414897607791084
